user_input,intent,source,user_input_clean,text_length,word_count,avg_word_length,exclamation_count,question_count,intent_encoded,cleaned_text,token_count,avg_token_length,has_question,has_exclamation,question_word_count,is_valid_length
 show me all the flights between oakland and denver,atis_flight,atis,show me all the flights between oakland and denver,50,9,4.666666666666667,0,0,35,show I all the flight between oakland and denver,9,4.444444444444445,0,0,0,1
 how much is a first class ticket from washington to san francisco leaving on friday,atis_airfare,atis,how much is a first class ticket from washington to san francisco leaving on friday,83,15,4.6,0,0,26,how much be a first class ticket from washington to san francisco leave on friday,15,4.466666666666667,0,0,1,1
 what flights takeoff and land at general mitchell international,atis_flight,atis,what flights takeoff and land at general mitchell international,63,9,6.111111111111111,0,0,35,what flight takeoff and land at general mitchell international,9,6.0,0,0,1,1
 requesting flight information from boston to denver on wednesday,atis_flight,atis,requesting flight information from boston to denver on wednesday,64,9,6.222222222222222,0,0,35,request flight information from boston to denver on wednesday,9,5.888888888888889,0,0,0,1
Who do you think I am?,CurrentHumanQuery,chatbots,who do you think i am,21,6,2.6666666666666665,0,1,4,who do you think I be ?,7,2.4285714285714284,1,0,1,1
 from las vegas to montreal,atis_flight,atis,from las vegas to montreal,26,5,4.4,0,0,35,from las vegas to montreal,5,4.4,0,0,0,1
 what are the classes of service on twa,atis_flight,atis,what are the classes of service on twa,38,8,3.875,0,0,35,what be the class of service on twa,8,3.5,0,0,1,1
 what ground transport is available in charlotte,atis_ground_service,atis,what ground transport is available in charlotte,47,7,5.857142857142857,0,0,40,what ground transport be available in charlotte,7,5.857142857142857,0,0,1,1
 i would like to book a flight from baltimore to san francisco before 12 o'clock on tuesday,atis_flight,atis,i would like to book a flight from baltimore to san francisco before oclock on tuesday,86,16,4.4375,0,0,35,I would like to book a flight from baltimore to san francisco before 12 o clock on tuesday,18,4.055555555555555,0,0,0,1
 what is the price of american airlines flight 19 from new york to los angeles,atis_airfare,atis,what is the price of american airlines flight from new york to los angeles,74,14,4.357142857142857,0,0,26,what be the price of american airlines flight 19 from new york to los angeles,15,4.2,0,0,1,1
 what are the morning flights from boston to philadelphia,atis_flight,atis,what are the morning flights from boston to philadelphia,56,9,5.333333333333333,0,0,35,what be the morning flight from boston to philadelphia,9,5.111111111111111,0,0,1,1
 what is the earliest flight from washington to atlanta leaving on wednesday september fourth,atis_flight,atis,what is the earliest flight from washington to atlanta leaving on wednesday september fourth,92,14,5.642857142857143,0,0,35,what be the early flight from washington to atlanta leave on wednesday september fourth,14,5.285714285714286,0,0,1,1
 from new york to toronto on thursday morning,atis_flight,atis,from new york to toronto on thursday morning,44,8,4.625,0,0,35,from new york to toronto on thursday morning,8,4.625,0,0,0,1
 what are the flights from denver to baltimore on united airlines,atis_flight,atis,what are the flights from denver to baltimore on united airlines,64,11,4.909090909090909,0,0,35,what be the flight from denver to baltimore on united airlines,11,4.7272727272727275,0,0,1,1
 now i need flights leaving from atlanta and arriving in philadelphia on wednesday morning,atis_flight,atis,now i need flights leaving from atlanta and arriving in philadelphia on wednesday morning,89,14,5.428571428571429,0,0,35,now I need flight leave from atlanta and arrive in philadelphia on wednesday morning,14,5.071428571428571,0,0,0,1
 what is the latest flight from san francisco to washington,atis_flight,atis,what is the latest flight from san francisco to washington,58,10,4.9,0,0,35,what be the late flight from san francisco to washington,10,4.7,0,0,1,1
 what flights go from philadelphia to san francisco via dallas,atis_flight,atis,what flights go from philadelphia to san francisco via dallas,61,10,5.2,0,0,35,what flight go from philadelphia to san francisco via dallas,10,5.1,0,0,1,1
 what flights from kansas city to denver,atis_flight,atis,what flights from kansas city to denver,39,7,4.714285714285714,0,0,35,what flight from kansas city to denver,7,4.571428571428571,0,0,1,1
 cheapest flight from miami to indianapolis,atis_flight,atis,cheapest flight from miami to indianapolis,42,6,6.166666666666667,0,0,35,cheap flight from miami to indianapolis,6,5.666666666666667,0,0,0,1
 show me flights from boston to philadelphia on a monday,atis_flight,atis,show me flights from boston to philadelphia on a monday,55,10,4.6,0,0,35,show I flight from boston to philadelphia on a monday,10,4.4,0,0,0,1
 how many cities are served by american airline with first class flights,atis_quantity,atis,how many cities are served by american airline with first class flights,71,12,5.0,0,0,43,how many city be serve by american airline with first class flight,12,4.583333333333333,0,0,1,1
 how much does it cost to fly one way from boston to washington first class,atis_airfare,atis,how much does it cost to fly one way from boston to washington first class,74,15,4.0,0,0,26,how much do it cost to fly one way from boston to washington first class,15,3.8666666666666667,0,0,1,1
 show me all flights between boston and washington,atis_flight,atis,show me all flights between boston and washington,49,8,5.25,0,0,35,show I all flight between boston and washington,8,5.0,0,0,0,1
 on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest,atis_flight,atis,on september fourth ill be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest,113,20,4.7,0,0,35,on september fourth I ll be travel from pittsburgh to atlanta can you tell I what flight would be the cheap,21,4.142857142857143,0,0,0,1
 are there delta flights leaving atlanta,atis_flight,atis,are there delta flights leaving atlanta,39,6,5.666666666666667,0,0,35,be there delta flight leave atlanta,6,5.0,0,0,0,1
 show me all flights from boston to denver which arrive in denver wednesday before noon,atis_flight,atis,show me all flights from boston to denver which arrive in denver wednesday before noon,86,15,4.8,0,0,35,show I all flight from boston to denver which arrive in denver wednesday before noon,15,4.666666666666667,0,0,0,1
 information on ground transportation in denver,atis_ground_service,atis,information on ground transportation in denver,46,6,6.833333333333333,0,0,40,information on ground transportation in denver,6,6.833333333333333,0,0,0,1
 show me round trip fares from san jose to salt lake city,atis_airfare,atis,show me round trip fares from san jose to salt lake city,56,12,3.75,0,0,26,show I round trip fare from san jose to salt lake city,12,3.5833333333333335,0,0,0,1
 all flights from boston to washington dc after 5 pm on november eleventh economy class,atis_flight,atis,all flights from boston to washington dc after pm on november eleventh economy class,84,14,5.071428571428571,0,0,35,all flight from boston to washington dc after 5 pm on november eleventh economy class,15,4.733333333333333,0,0,0,1
 show me all flights from san francisco to pittsburgh,atis_flight,atis,show me all flights from san francisco to pittsburgh,52,9,4.888888888888889,0,0,35,show I all flight from san francisco to pittsburgh,9,4.666666666666667,0,0,0,1
 list the flights arriving in boston from atlanta on august fifth,atis_flight,atis,list the flights arriving in boston from atlanta on august fifth,64,11,4.909090909090909,0,0,35,list the flight arrive in boston from atlanta on august fifth,11,4.636363636363637,0,0,0,1
 what flights are provided by american airlines,atis_flight,atis,what flights are provided by american airlines,46,7,5.714285714285714,0,0,35,what flight be provide by american airlines,7,5.285714285714286,0,0,1,1
 find all flights from philadelphia to dallas stopping in atlanta,atis_flight,atis,find all flights from philadelphia to dallas stopping in atlanta,64,10,5.5,0,0,35,find all flight from philadelphia to dallas stop in atlanta,10,5.0,0,0,0,1
 list all flights arriving at general mitchell international,atis_flight,atis,list all flights arriving at general mitchell international,59,8,6.5,0,0,35,list all flight arrive at general mitchell international,8,6.125,0,0,0,1
 what are the flights from boston to baltimore leaving tomorrow,atis_flight,atis,what are the flights from boston to baltimore leaving tomorrow,62,10,5.3,0,0,35,what be the flight from boston to baltimore leave tomorrow,10,4.9,0,0,1,1
 what is the earliest morning flight leaving boston for washington,atis_flight,atis,what is the earliest morning flight leaving boston for washington,65,10,5.6,0,0,35,what be the early morning flight leave boston for washington,10,5.1,0,0,1,1
 list flights from philadelphia to dallas that stop in atlanta,atis_flight,atis,list flights from philadelphia to dallas that stop in atlanta,61,10,5.2,0,0,35,list flight from philadelphia to dallas that stop in atlanta,10,5.1,0,0,0,1
 what is the first flight after 8 am from boston to san francisco,atis_flight,atis,what is the first flight after am from boston to san francisco,62,12,4.25,0,0,35,what be the first flight after 8 am from boston to san francisco,13,4.0,0,0,1,1
 what is the fare for flights from denver to atlanta,atis_airfare,atis,what is the fare for flights from denver to atlanta,51,10,4.2,0,0,26,what be the fare for flight from denver to atlanta,10,4.1,0,0,1,1
 please list the sunday flights from dallas to houston on american airlines,atis_flight,atis,please list the sunday flights from dallas to houston on american airlines,74,12,5.25,0,0,35,please list the sunday flight from dallas to houston on american airlines,12,5.166666666666667,0,0,0,1
